INFO  [2016-01-24 19:26:55,979] org.eclipse.jetty.util.log: Logging initialized @1050ms
DEBUG [2016-01-24 19:26:56,115] org.hibernate.type.BasicTypeRegistry: Adding type registration ntext -> org.hibernate.type.NTextType@4d098f9b
DEBUG [2016-01-24 19:26:56,118] org.hibernate.type.BasicTypeRegistry: Adding type registration blob -> org.hibernate.type.BlobType@2756c0a7
DEBUG [2016-01-24 19:26:56,118] org.hibernate.type.BasicTypeRegistry: Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@2756c0a7
DEBUG [2016-01-24 19:26:56,118] org.hibernate.type.BasicTypeRegistry: Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@71984c3
DEBUG [2016-01-24 19:26:56,121] org.hibernate.type.BasicTypeRegistry: Adding type registration clob -> org.hibernate.type.ClobType@77602954
DEBUG [2016-01-24 19:26:56,122] org.hibernate.type.BasicTypeRegistry: Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@77602954
DEBUG [2016-01-24 19:26:56,125] org.hibernate.type.BasicTypeRegistry: Adding type registration nclob -> org.hibernate.type.NClobType@6a66a204
DEBUG [2016-01-24 19:26:56,125] org.hibernate.type.BasicTypeRegistry: Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@6a66a204
DEBUG [2016-01-24 19:26:56,125] org.hibernate.type.BasicTypeRegistry: Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@42f3156d
DEBUG [2016-01-24 19:26:56,125] org.hibernate.type.BasicTypeRegistry: Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@24bdb479
DEBUG [2016-01-24 19:26:56,126] org.hibernate.type.BasicTypeRegistry: Adding type registration serializable -> org.hibernate.type.SerializableType@67389cb8
DEBUG [2016-01-24 19:26:56,128] org.hibernate.type.BasicTypeRegistry: Adding type registration object -> org.hibernate.type.ObjectType@39dcf4b0
DEBUG [2016-01-24 19:26:56,129] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@39dcf4b0
DEBUG [2016-01-24 19:26:56,129] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@46f699d5
DEBUG [2016-01-24 19:26:56,129] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@18518ccf
DEBUG [2016-01-24 19:26:56,129] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@1991f767
DEBUG [2016-01-24 19:26:56,129] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@768ccdc5
DEBUG [2016-01-24 19:26:56,130] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@4c6daf0
DEBUG [2016-01-24 19:26:56,130] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@10650953
DEBUG [2016-01-24 19:26:56,130] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@659eef7
DEBUG [2016-01-24 19:26:56,130] org.hibernate.type.BasicTypeRegistry: Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@162be91c
INFO  [2016-01-24 19:26:56,139] org.hibernate.annotations.common.Version: HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
INFO  [2016-01-24 19:26:56,142] org.hibernate.Version: HHH000412: Hibernate Core {4.3.11.Final}
INFO  [2016-01-24 19:26:56,143] org.hibernate.cfg.Environment: HHH000206: hibernate.properties not found
INFO  [2016-01-24 19:26:56,144] org.hibernate.cfg.Environment: HHH000021: Bytecode provider name : javassist
INFO  [2016-01-24 19:26:56,156] io.dropwizard.hibernate.SessionFactoryFactory: Entity classes: [com.ajay.messenger.models.Person]
INFO  [2016-01-24 19:26:56,605] org.hibernate.dialect.Dialect: HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
INFO  [2016-01-24 19:26:56,695] org.hibernate.engine.transaction.internal.TransactionFactoryInitiator: HHH000399: Using default transaction strategy (direct JDBC transactions)
INFO  [2016-01-24 19:26:56,697] org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory: HHH000397: Using ASTQueryTranslatorFactory
TRACE [2016-01-24 19:26:56,708] org.hibernate.type.TypeFactory: Scoping types to session factory org.hibernate.internal.SessionFactoryImpl@34b9fc7d
DEBUG [2016-01-24 19:26:56,753] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.DateTime -> org.hibernate.type.CustomType@3eed0f5
DEBUG [2016-01-24 19:26:56,753] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Duration -> org.hibernate.type.CustomType@2032e725
DEBUG [2016-01-24 19:26:56,753] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Instant -> org.hibernate.type.CustomType@4d23015c
DEBUG [2016-01-24 19:26:56,753] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.LocalDate -> org.hibernate.type.CustomType@441cc260
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.LocalDateTime -> org.hibernate.type.CustomType@73a00e09
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.LocalTime -> org.hibernate.type.CustomType@66e889df
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.MonthDay -> org.hibernate.type.CustomType@444548a0
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Period -> org.hibernate.type.CustomType@3766c667
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.TimeOfDay -> org.hibernate.type.CustomType@773c0293
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.YearMonthDay -> org.hibernate.type.CustomType@55b8dbda
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Years -> org.hibernate.type.CustomType@3a022576
DEBUG [2016-01-24 19:26:56,754] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Minutes -> org.hibernate.type.CustomType@2dbd803f
DEBUG [2016-01-24 19:26:56,756] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.DateMidnight -> org.hibernate.type.CompositeCustomType@5b22b970
DEBUG [2016-01-24 19:26:56,756] org.hibernate.type.BasicTypeRegistry: Adding type registration org.joda.time.Interval -> org.hibernate.type.CompositeCustomType@1cbb3d3b
DEBUG [2016-01-24 19:26:56,757] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.Currency -> org.hibernate.type.CustomType@319854f0
INFO  [2016-01-24 19:26:56,757] org.hibernate.type.BasicTypeRegistry: HHH000270: Type registration [java.util.Currency] overrides previous : org.hibernate.type.CurrencyType@3829ac1
INFO  [2016-01-24 19:26:56,953] org.hibernate.tool.hbm2ddl.SchemaUpdate: HHH000228: Running hbm2ddl schema update
INFO  [2016-01-24 19:26:56,953] org.hibernate.tool.hbm2ddl.SchemaUpdate: HHH000102: Fetching database metadata
INFO  [2016-01-24 19:26:56,955] org.hibernate.tool.hbm2ddl.SchemaUpdate: HHH000396: Updating schema
INFO  [2016-01-24 19:26:56,974] org.hibernate.tool.hbm2ddl.TableMetadata: HHH000261: Table found: jaxrs.people
INFO  [2016-01-24 19:26:56,974] org.hibernate.tool.hbm2ddl.TableMetadata: HHH000037: Columns: [full_name, id, job_title]
INFO  [2016-01-24 19:26:56,974] org.hibernate.tool.hbm2ddl.TableMetadata: HHH000108: Foreign keys: []
INFO  [2016-01-24 19:26:56,974] org.hibernate.tool.hbm2ddl.TableMetadata: HHH000126: Indexes: [primary]
INFO  [2016-01-24 19:26:56,975] org.hibernate.tool.hbm2ddl.SchemaUpdate: HHH000232: Schema update complete
INFO  [2016-01-24 19:26:57,084] io.dropwizard.server.ServerFactory: Starting MessengerApp
================================================================================

                              MessengerApp

================================================================================


INFO  [2016-01-24 19:26:57,092] io.dropwizard.server.DefaultServerFactory: Registering jersey handler with root path prefix: /messenger
INFO  [2016-01-24 19:26:57,108] io.dropwizard.server.DefaultServerFactory: Registering admin handler with root path prefix: /admin
INFO  [2016-01-24 19:26:57,158] org.eclipse.jetty.setuid.SetUIDListener: Opened application@47fbc56{HTTP/1.1}{0.0.0.0:8080}
INFO  [2016-01-24 19:26:57,158] org.eclipse.jetty.setuid.SetUIDListener: Opened admin@151ef57f{HTTP/1.1}{0.0.0.0:8081}
INFO  [2016-01-24 19:26:57,162] org.eclipse.jetty.server.Server: jetty-9.2.z-SNAPSHOT
INFO  [2016-01-24 19:26:57,728] io.dropwizard.jersey.DropwizardResourceConfig: The following paths were found for the configured resources:

    GET     / (com.ajay.messenger.resources.IndexResource)
    GET     /index (com.ajay.messenger.resources.IndexResource)

INFO  [2016-01-24 19:26:57,732] org.eclipse.jetty.server.handler.ContextHandler: Started i.d.j.MutableServletContextHandler@3f598450{/messenger,null,AVAILABLE}
INFO  [2016-01-24 19:26:57,736] io.dropwizard.setup.AdminEnvironment: tasks = 

    POST    /tasks/log-level (io.dropwizard.servlets.tasks.LogConfigurationTask)
    POST    /tasks/gc (io.dropwizard.servlets.tasks.GarbageCollectionTask)

